time	ret	ldp	lep	rf	yield
1952.50	-0.0196532881	-2.8729067474	-2.6730291134	0.0169259446	0.0139679097
1952.75	0.0778401315	-2.9512680622	-2.7323960174	0.0201261044	0.0099159525
1953.00	-0.0220606084	-2.9307673284	-2.6633689805	0.0203808914	0.0110283943
1953.25	-0.0435410898	-2.8890628345	-2.5972071646	0.0200280921	0.0168333456
1953.50	-0.0233702069	-2.8529800528	-2.5435447435	0.0153220161	0.0185167857
1953.75	0.0702483084	-2.9004484486	-2.5830660528	0.0138733189	0.0179631488
1954.00	0.1017646649	-2.9796249805	-2.6440059007	0.0101483311	0.0184067519
1954.25	0.0810079841	-3.0366621869	-2.7032879216	0.0062703005	0.0226252661
1954.50	0.0870288608	-3.0917121300	-2.7821950635	0.0098513161	0.0197089394
1954.75	0.1261922241	-3.1625036232	-2.8669045929	0.0099998346	0.0189936252
1955.00	0.0342556414	-3.1780308394	-2.8587259733	0.0140212414	0.0165504955
1955.25	0.1033151369	-3.2506895780	-2.9470929976	0.0147211108	0.0168416587
1955.50	0.0182724590	-3.2463649902	-2.9817066069	0.0213700257	0.0097340253
1955.75	0.0538323509	-3.2500135071	-2.9924087643	0.0248096789	0.0068484090
1956.00	0.0695466832	-3.2791419618	-3.0263836795	0.0228176853	0.0091885454
1956.25	-0.0154189600	-3.2325217094	-2.9657936657	0.0240094525	0.0100053391
1956.50	-0.0380403109	-3.1813221774	-2.9043960747	0.0289858226	0.0082319356
1956.75	0.0378910436	-3.2261448972	-2.9097680412	0.0324091052	0.0068571918
1957.00	-0.0364854377	-3.1749587265	-2.8325221298	0.0295782195	0.0075238925
1957.25	0.0668107922	-3.2344035514	-2.8849400512	0.0323026074	0.0080973667
1957.50	-0.1107175640	-3.1132318441	-2.7565928711	0.0342758150	0.0103685897
1957.75	-0.0659313371	-3.0680166414	-2.6814016960	0.0273914066	0.0108475640
1958.00	0.0601856798	-3.1234077186	-2.7198475454	0.0108014537	0.0258152632
1958.25	0.0802755612	-3.1965158456	-2.7821836786	0.0073826808	0.0282508813
1958.50	0.1092069694	-3.2869440707	-2.8762194790	0.0265932443	0.0228845162
1958.75	0.1004129310	-3.3891879380	-2.9688376438	0.0267490333	0.0154238729
1959.00	0.0174575298	-3.4110960760	-2.9665798358	0.0285874569	0.0171441073
1959.25	0.0497866799	-3.4581682590	-3.0110707906	0.0320605247	0.0173427031
1959.50	-0.0330264084	-3.4305028972	-2.9745103952	0.0406907859	0.0090341797
1959.75	0.0487075560	-3.4609622906	-3.0169100319	0.0434425578	0.0049558438
