time	ret	ldp	lep	rf	yield
1942.4167	0.0244636629	-2.5292585654	-2.2956812685	0.0035935355	0.0251657435
1942.5000	0.0339669780	-2.5639608422	-2.3212551843	0.0036732454	0.0245127202
1942.5833	0.0182250243	-2.6015089846	-2.3229969546	0.0036234275	0.0242982735
1942.6667	0.0256768221	-2.6239129272	-2.3441135517	0.0037230608	0.0240515244
1942.7500	0.0654025606	-2.6981502225	-2.4004640328	0.0037230608	0.0242010019
1942.8333	0.0011269994	-2.7312399179	-2.3805369370	0.0035935355	0.0244326503
1942.9167	0.0481829817	-2.7892890339	-2.4249204399	0.0036433549	0.0241687249
1943.0000	0.0723735330	-2.8629522001	-2.4880634898	0.0036732454	0.0241236530
1943.0833	0.0580630826	-2.9216210253	-2.5314266654	0.0037230608	0.0241882152
1943.1667	0.0595764371	-2.9812854027	-2.5768287931	0.0036433549	0.0237320970
1943.2500	0.0065520628	-2.9877290275	-2.5714631926	0.0036433549	0.0240909058
1943.3333	0.0551899139	-3.0323760741	-2.6091618648	0.0036433549	0.0238962586
1943.4167	0.0165975660	-3.0406529071	-2.6226342256	0.0036433549	0.0234424209
1943.5000	-0.0476548350	-2.9943862604	-2.5609263533	0.0036433549	0.0231503222
1943.5833	0.0125461904	-3.0030240715	-2.5652530759	0.0036433549	0.0234094747
1943.6667	0.0236337789	-3.0086808725	-2.5828444510	0.0036433549	0.0231503222
1943.7500	-0.0125908928	-3.0008865752	-2.5649563485	0.0036433549	0.0232476979
1943.8333	-0.0604198469	-2.9208161916	-2.4819165692	0.0036433549	0.0236042167
1943.9167	0.0610916534	-2.9781908909	-2.5347127540	0.0036433549	0.0236371060
1944.0000	0.0174343909	-2.9916720814	-2.5460641140	0.0036433549	0.0234424209
1944.0833	0.0039787402	-2.9785779630	-2.5395897779	0.0035935355	0.0241455071
1944.1667	0.0237258095	-2.9942054008	-2.5524446733	0.0035935355	0.0236371060
1944.2500	-0.0176323692	-2.9794937390	-2.5360669330	0.0035935355	0.0241455071
1944.3333	0.0503136432	-3.0100658124	-2.5719033048	0.0035935355	0.0235397682
1944.4167	0.0548980419	-3.0547642540	-2.6178658971	0.0035935355	0.0235397682
1944.5000	-0.0155133112	-3.0387297410	-2.5932438793	0.0035935355	0.0239508220
1944.5833	0.0149130200	-3.0283577841	-2.5982727773	0.0035935355	0.0238534652
1944.6667	0.0001163057	-3.0381769398	-2.5915721376	0.0036234275	0.0234224889
1944.7500	0.0023985621	-3.0308847677	-2.5877490379	0.0036234275	0.0239209089
1944.8333	0.0150350691	-3.0160092532	-2.5878452284	0.0036234275	0.0239308798
1944.9167	0.0411128424	-3.0585579004	-2.6185241046	0.0036234275	0.0237261859
1945.0000	0.0177266194	-3.0741226721	-2.6307523914	0.0037927982	0.0236288101
1945.0833	0.0631172923	-3.1289484789	-2.6885732816	0.0036234275	0.0232392124
1945.1667	-0.0401540500	-3.0818003868	-2.6398641066	0.0036234275	0.0224484944
1945.2500	0.0746553215	-3.1538656538	-2.7225585793	0.0036234275	0.0228494628
1945.3333	0.0177996581	-3.1429795797	-2.7323265113	0.0036234275	0.0229568854
1945.4167	0.0038681300	-3.1602532308	-2.7273699904	0.0036234275	0.0223510428
1945.5000	-0.0227939559	-3.1360121641	-2.7051553502	0.0036234275	0.0227520017
1945.5833	0.0586583143	-3.1864871494	-2.7595640906	0.0036234275	0.0223510428
1945.6667	0.0466455591	-3.2262493344	-2.7986684350	0.0036234275	0.0224484944
1945.7500	0.0381486236	-3.2644074758	-2.8270163688	0.0036234275	0.0229469144
1945.8333	0.0531191679	-3.3072556476	-2.8574130589	0.0036234275	0.0224484944
1945.9167	0.0111418246	-3.3265062956	-2.8657353456	0.0036234275	0.0223510428
1946.0000	0.0610656691	-3.3805066260	-2.9329454203	0.0036732454	0.0216686153
1946.0833	-0.0599271524	-3.3095801672	-2.8607792453	0.0036732454	0.0210833065
1946.1667	0.0576055489	-3.3630518651	-2.9058673023	0.0036732454	0.0209857217
1946.2500	0.0403608643	-3.3970828837	-2.9455723504	0.0036732454	0.0208881274
1946.3333	0.0396157797	-3.4400751099	-2.9705057106	0.0036732454	0.0213760037
1946.4167	-0.0405411416	-3.3912789611	-2.9334174656	0.0036732454	0.0211808818
1946.5000	-0.0262402520	-3.3469418856	-2.9090986654	0.0036732454	0.0210833065
1946.5833	-0.0663046508	-3.2674933286	-2.8349054757	0.0036732454	0.0213760037
1946.6667	-0.1059897502	-3.1464438155	-2.7295635984	0.0036732454	0.0220586309
1946.7500	-0.0146430885	-3.1184649026	-2.7214503335	0.0036732454	0.0222535816
1946.8333	0.0011543159	-3.1216261101	-2.7089877678	0.0036732454	0.0221561110
1946.9167	0.0492781895	-3.1059728348	-2.7505044092	0.0036732454	0.0226002217
1947.0000	0.0147617310	-3.1135502581	-2.7733704657	0.0036732454	0.0219611412
1947.0833	-0.0120954579	-3.0710397101	-2.7589854056	0.0036732454	0.0217661334
1947.1667	-0.0173068822	-3.0436089203	-2.7424919876	0.0036732454	0.0217661334
1947.2500	-0.0492567838	-2.9827042227	-2.7023685036	0.0036732454	0.0215710876
1947.3333	-0.0104652241	-2.9417056325	-2.6889908654	0.0036732454	0.0215710876
1947.4167	0.0519513427	-2.9765243206	-2.7439571216	0.0036732454	0.0217661334
1947.5000	0.0402877849	-3.0137323100	-2.7779492334	0.0074323118	0.0217661334
1947.5833	-0.0179787660	-2.9763430252	-2.7469901813	0.0075315664	0.0221128210
1947.6667	-0.0047792509	-2.9501653679	-2.7311245796	0.0082359909	0.0183328961
1947.7500	0.0237494141	-2.9676227624	-2.7452377484	0.0087416799	0.0187134446
1947.8333	-0.0188868976	-2.8886011019	-2.7089613811	0.0093957216	0.0190377161
1947.9167	0.0286340153	-2.8995079912	-2.7225182137	0.0094947816	0.0194173234
1948.0000	-0.0384476974	-2.8566727751	-2.6726382163	0.0098018050	0.0188623734
1948.0833	-0.0452581403	-2.7971497755	-2.6148844110	0.0099008247	0.0186165541
1948.1667	0.0785092701	-2.8509235319	-2.6791593246	0.0099008247	0.0181645648
1948.2500	0.0362021146	-2.8800145549	-2.6952023335	0.0099008247	0.0175791815
1948.3333	0.0710496534	-2.9510707905	-2.7601837358	0.0099503309	0.0173350631
1948.4167	-0.0009257255	-2.9249181267	-2.7538174354	0.0099503309	0.0173845722
1948.5000	-0.0525368928	-2.8782413740	-2.6865119012	0.0099008247	0.0178710245
1948.5833	0.0029285963	-2.8529211322	-2.6829175253	0.0056639296	0.0176579044
1948.6667	-0.0307059754	-2.8065007517	-2.6411057493	0.0060715309	0.0221911251
1948.7500	0.0576449020	-2.8471390789	-2.6952966315	0.0061212270	0.0175094593
1948.8333	-0.0959003480	-2.7201747787	-2.5698557901	0.0064690306	0.0167082367
1948.9167	0.0306776838	-2.7319144479	-2.5892699543	0.0114047183	0.0164196994
1949.0000	0.0020003786	-2.7314047585	-2.5795996834	0.0115035794	0.0154433374
1949.0833	-0.0300196206	-2.6766392406	-2.5278903669	0.0115035794	0.0156411105
1949.1667	0.0390741779	-2.7032676760	-2.5465151253	0.0115035794	0.0152965340
1949.2500	-0.0191401218	-2.6768733771	-2.5140844586	0.0114541500	0.0153954108
1949.3333	-0.0287816428	-2.6336388320	-2.4646053134	0.0114541500	0.0155916636
1949.4167	0.0025103031	-2.6241656098	-2.4508920798	0.0108014537	0.0161456090
1949.5000	0.0531178253	-2.6767453798	-2.5013462571	0.0101483311	0.0163598413
1949.5833	0.0252287961	-2.6829209005	-2.5023097991	0.0104551539	0.0155658540
1949.6667	0.0307059291	-2.7213315450	-2.5146329961	0.0105046326	0.0152719706
1949.7500	0.0301767007	-2.7667837695	-2.5354783251	0.0105541089	0.0156267759
1949.8333	0.0181676375	-2.7235398644	-2.5283647764	0.0110091760	0.0149751172
1949.9167	0.0503742614	-2.7730514819	-2.5629972069	0.0108014537	0.0149285821
1950.0000	0.0151966351	-2.7850555333	-2.5725047091	0.0112564083	0.0144254751
1950.0833	0.0135083914	-2.7833605706	-2.5748364402	0.0113058474	0.0142757179
1950.1667	0.0111572661	-2.7867712744	-2.5713608446	0.0113552840	0.0143251624
1950.2500	0.0385048594	-2.8285435297	-2.6063210634	0.0117111559	0.0142729151
1950.3333	0.0409747605	-2.8358087722	-2.6357790739	0.0116123153	0.0141627772
1950.4167	-0.0591677426	-2.7767315849	-2.5669864790	0.0116123153	0.0143689658
